dataset,accuracy,error,epochs,generations,hidden_size,batch_size,simulation_set_size,simulation_time,simulation_epochs,simulation_scheduler_type
Adiac,0.0445859872611464,,1,1,32,64,200,500,10,progress_check
Adiac,0.0318471337579617,,1,1,32,64,200,500,20,constant
Adiac,0.0318471337579617,,1,1,32,64,200,500,20,progress_check
Adiac,0.0318471337579617,,1,1,64,32,50,30,10,constant
Adiac,0.019108280254777,,1,1,64,32,50,30,10,progress_check
Adiac,0.0063694267515923,,1,1,64,32,50,30,20,constant
Adiac,0.0127388535031847,,1,1,64,32,50,30,20,progress_check
Adiac,0.0445859872611464,,1,1,64,32,50,60,10,constant
Adiac,0.0636942675159235,,1,1,64,32,50,60,10,progress_check
Adiac,0.0318471337579617,,1,1,64,32,50,60,20,constant
Adiac,0.0254777070063694,,1,1,64,32,50,60,20,progress_check
Adiac,0.0127388535031847,,1,1,64,32,50,500,10,constant
Adiac,0.0509554140127388,,1,1,64,32,50,500,10,progress_check
Adiac,0.019108280254777,,1,1,64,32,50,500,20,constant
Adiac,0.0382165605095541,,1,1,64,32,50,500,20,progress_check
Adiac,0.0318471337579617,,1,1,64,32,100,30,10,constant
Adiac,0.0636942675159235,,1,1,64,32,100,30,10,progress_check
Adiac,0.0700636942675159,,1,1,64,32,100,30,20,constant
Adiac,0.0700636942675159,,1,1,64,32,100,30,20,progress_check
Adiac,0.0573248407643312,,1,1,64,32,100,60,10,constant
Adiac,0.0318471337579617,,1,1,64,32,100,60,10,progress_check
Adiac,0.0318471337579617,,1,1,64,32,100,60,20,constant
Adiac,0.0254777070063694,,1,1,64,32,100,60,20,progress_check
Adiac,0.0636942675159235,,1,1,64,32,100,500,10,constant
Adiac,0.0828025477707006,,1,1,64,32,100,500,10,progress_check
Coffee,0.75,,10,5,32,32,50,30,10,constant
